Date Time,NO (Invitado1),NO2 (Invitado1),NOx (Invitado1)
07/17/26 06:31,119.435,67.293,186.728
07/17/26 06:32,119.508,67.108,186.583
07/17/26 06:33,119.483,67.075,186.558
07/17/26 06:34,119.75,66.992,186.767
07/17/26 06:35,119.937,67.232,187.157
07/17/26 06:36,120.117,67.2,187.317
07/17/26 06:37,120.097,67.435,187.498
07/17/26 06:38,120.025,67.433,187.492
07/17/26 06:39,120.237,67.388,187.6
07/17/26 06:40,120.083,67.642,187.717
07/17/26 06:41,119.997,67.617,187.58
07/17/26 06:42,119.808,67.592,187.4
07/17/26 06:43,119.825,67.53,187.322
07/17/26 06:44,119.958,67.4,187.333
07/17/26 06:45,119.975,67.315,187.3
07/17/26 06:46,119.925,67.55,187.475
07/17/26 06:47,120.025,67.523,187.567
07/17/26 06:48,120.042,67.675,187.75
07/17/26 06:49,120,67.833,187.8
07/17/26 06:50,119.942,68.092,187.975
07/17/26 06:51,119.92,68.333,188.257
07/17/26 06:52,120.05,68.125,188.15
07/17/26 06:53,120.198,68.038,188.237
07/17/26 06:54,120.2,67.983,188.183
07/17/26 06:55,120.395,67.642,188.017
07/17/26 06:56,120.533,67.6,188.108
07/17/26 06:57,120.5,67.78,188.258
07/17/26 06:58,120.533,67.875,188.408
07/17/26 06:59,120.422,68.285,188.732
07/17/26 07:00,120.55,68.025,188.583
07/17/26 07:01,120.62,67.978,188.632
07/17/26 07:02,120.6,68.15,188.717
07/17/26 07:03,120.757,67.932,188.688
07/17/26 07:04,120.892,67.75,188.617
07/17/26 07:05,120.847,67.538,188.417
07/17/26 07:06,120.9,67.392,188.292
07/17/26 07:07,120.797,67.675,188.438
07/17/26 07:08,120.758,67.792,188.55
07/17/26 07:09,120.75,67.95,188.725
07/17/26 07:10,120.575,68.1,188.683
07/17/26 07:11,120.475,67.98,188.422
07/17/26 07:12,120.317,68.375,188.658
07/17/26 07:13,120.157,68.438,188.587
07/17/26 07:14,120.108,68.467,188.583
07/17/26 07:15,119.863,68.52,188.383
07/17/26 07:16,119.708,68.475,188.183
07/17/26 07:17,119.597,68.503,188.125
07/17/26 07:18,119.533,68.6,188.108
07/17/26 07:19,119.457,68.457,187.895
07/17/26 07:20,119.283,68.533,187.817
07/17/26 07:21,119.258,68.343,187.622
07/17/26 07:22,119.333,68.117,187.517
07/17/26 07:23,119.3,67.977,187.243
07/17/26 07:24,119.3,67.808,187.142
07/17/26 07:25,119.3,67.878,187.178
07/17/26 07:26,119.3,67.75,187.05
07/17/26 07:27,119.118,67.75,186.868
07/17/26 07:28,119.15,67.725,186.817
07/17/26 07:29,119.2,67.653,186.798
07/17/26 07:30,119.2,67.642,186.867
07/17/26 07:31,119.2,67.637,186.858
07/17/26 07:32,119.283,67.617,186.9
07/17/26 07:33,119.502,67.558,187.078
07/17/26 07:34,119.692,67.45,187.142
07/17/26 07:35,119.547,67.587,187.133
07/17/26 07:36,119.525,67.533,187.092
07/17/26 07:37,119.595,67.82,187.415
07/17/26 07:38,119.65,67.883,187.5
07/17/26 07:39,119.667,67.775,187.442
07/17/26 07:40,119.642,67.808,187.483
07/17/26 07:41,119.832,67.838,187.645
07/17/26 07:42,120.008,67.758,187.758
07/17/26 07:43,119.922,67.775,187.697
07/17/26 07:44,120.017,67.425,187.442
07/17/26 07:45,120.017,67.373,187.423
07/17/26 07:46,119.9,67.583,187.483
07/17/26 07:47,119.848,67.718,187.6
07/17/26 07:48,119.783,67.85,187.692
07/17/26 07:49,119.86,67.943,187.802
07/17/26 07:50,120.058,67.908,187.958
07/17/26 07:51,120.1,67.9,188
07/17/26 07:52,120.183,67.758,187.942
07/17/26 07:53,120.442,67.36,187.777
07/17/26 07:54,120.625,67.083,187.7
07/17/26 07:55,120.7,67.025,187.758
07/17/26 07:56,120.667,67.25,187.925
07/17/26 07:57,120.622,67.325,187.945
07/17/26 07:58,120.567,67.492,188.058
07/17/26 07:59,120.678,67.608,188.287
07/17/26 08:00,120.552,67.832,188.417
07/17/26 08:01,120.425,67.957,188.382
07/17/26 08:02,120.4,67.943,188.377
07/17/26 08:03,120.277,67.957,188.205
07/17/26 08:04,120.105,68.038,188.138
07/17/26 08:05,120.1,67.815,187.882
07/17/26 08:06,120.65,67.208,187.892
07/17/26 08:07,123.375,64.467,187.842
07/17/26 08:08,128.125,59.525,187.675
07/17/26 08:09,132.887,54.792,187.7
07/17/26 08:10,137.992,49.733,187.725
07/17/26 08:11,142.668,45.215,187.903
07/17/26 08:12,147.733,40.425,188.133
07/17/26 08:13,151.275,36.8,188.053
07/17/26 08:14,152.683,35.558,188.208
07/17/26 08:15,152.767,35.528,188.262
07/17/26 08:16,152.65,35.642,188.325
07/17/26 08:17,152.575,35.642,188.242
07/17/26 08:18,152.592,35.567,188.142
07/17/26 08:19,152.497,35.663,188.158
07/17/26 08:20,152.408,35.533,187.942
07/17/26 08:21,152.3,35.238,187.518
07/17/26 08:22,152.333,35.042,187.375
07/17/26 08:23,152.275,34.86,187.168
07/17/26 08:24,152.2,34.967,187.167
07/17/26 08:25,152.122,34.942,187.063
07/17/26 08:26,152.075,34.858,186.967
07/17/26 08:27,151.972,35.165,187.215
07/17/26 08:28,152.008,35.333,187.383
07/17/26 08:29,151.843,35.662,187.505
07/17/26 08:30,151.733,35.683,187.417
07/17/26 08:31,151.853,35.36,187.193
07/17/26 08:32,151.683,35.258,186.942
07/17/26 08:33,151.575,35.3,186.855
07/17/26 08:34,151.592,35.117,186.708
07/17/26 08:35,151.62,34.898,186.518
07/17/26 08:36,151.717,34.675,186.425
07/17/26 08:37,151.878,34.792,186.67
07/17/26 08:38,151.983,34.95,186.933
07/17/26 08:39,152.183,34.942,187.125
07/17/26 08:40,152.417,34.967,187.383
07/17/26 08:41,152.475,35.132,187.607
07/17/26 08:42,152.342,35.433,187.833
07/17/26 08:43,152.378,35.537,187.937
07/17/26 08:44,152.392,35.458,187.883
07/17/26 08:45,152.447,35.353,187.8
07/17/26 08:46,152.525,35.133,187.625
07/17/26 08:47,152.522,34.9,187.422
07/17/26 08:48,152.558,34.842,187.4
07/17/26 08:49,152.79,34.61,187.4
07/17/26 08:50,152.833,34.542,187.433
07/17/26 08:51,152.8,34.612,187.458
07/17/26 08:52,152.892,34.592,187.492
07/17/26 08:53,152.842,34.817,187.703
07/17/26 08:54,152.95,34.958,187.917
07/17/26 08:55,153.103,34.922,188.005
07/17/26 08:56,153.108,35.108,188.258
07/17/26 08:57,153.312,35.013,188.327
07/17/26 08:58,153.333,35.142,188.55
07/17/26 08:59,153.47,35.225,188.72
07/17/26 09:00,153.692,35.1,188.8
07/17/26 09:01,153.7,35,188.7
07/17/26 09:02,153.517,35.275,188.733
07/17/26 09:03,153.533,35.227,188.758
07/17/26 09:04,153.5,35.333,188.833
07/17/26 09:05,153.417,35.242,188.638
07/17/26 09:06,153.183,35.233,188.417
07/17/26 09:07,153.178,35.337,188.49
07/17/26 09:08,153.258,35.308,188.558
07/17/26 09:09,153.325,35.217,188.575
07/17/26 09:10,153.283,35.308,188.592
07/17/26 09:11,153.278,35.405,188.683
